valid_time,latitude,longitude,expver,wdir10,si10,r2,t2m
2000-07-01 00:00:00,41.728189152350694,1.8905900829590336,prod,110.50808,1.1288311,82.880455,289.65488
2000-07-01 06:00:00,41.728189152350694,1.8905900829590336,prod,27.304752,1.3064119,84.8181,291.34192
2000-07-01 12:00:00,41.728189152350694,1.8905900829590336,prod,198.07085,2.1126945,41.427666,302.12805
2000-07-01 18:00:00,41.728189152350694,1.8905900829590336,prod,164.04723,3.3818965,47.964844,300.47437
2000-07-02 00:00:00,41.728189152350694,1.8905900829590336,prod,112.203125,1.177493,81.94728,290.5124
2000-07-02 06:00:00,41.728189152350694,1.8905900829590336,prod,54.195618,0.3917146,67.375,291.86353
2000-07-02 12:00:00,41.728189152350694,1.8905900829590336,prod,168.47694,3.3843102,30.878927,305.86197
2000-07-02 18:00:00,41.728189152350694,1.8905900829590336,prod,150.21106,2.4927685,31.201172,301.575
2000-07-03 00:00:00,41.728189152350694,1.8905900829590336,prod,187.32039,1.0326933,65.46094,292.61115
2000-07-03 06:00:00,41.728189152350694,1.8905900829590336,prod,82.054924,0.6925868,64.06416,294.08917
2000-07-03 12:00:00,41.728189152350694,1.8905900829590336,prod,239.28922,1.9473242,22.965754,306.47116
2000-07-03 18:00:00,41.728189152350694,1.8905900829590336,prod,169.41426,4.2017193,31.82591,299.75964
2000-07-04 00:00:00,41.728189152350694,1.8905900829590336,prod,146.84389,1.3637034,68.63872,293.54456
2000-07-04 06:00:00,41.728189152350694,1.8905900829590336,prod,291.69543,1.1314272,48.63672,293.1287
2000-07-04 12:00:00,41.728189152350694,1.8905900829590336,prod,260.50784,3.1714478,24.24414,300.72906
2000-07-04 18:00:00,41.728189152350694,1.8905900829590336,prod,148.96901,4.8206873,59.310547,295.8558
2000-07-05 00:00:00,41.728189152350694,1.8905900829590336,prod,86.17212,1.0898143,78.62363,289.43198
2000-07-05 06:00:00,41.728189152350694,1.8905900829590336,prod,48.304993,1.025949,80.82728,291.1596
2000-07-05 12:00:00,41.728189152350694,1.8905900829590336,prod,239.0705,2.4362059,28.009766,302.18027
2000-07-05 18:00:00,41.728189152350694,1.8905900829590336,prod,185.53932,3.359821,37.976562,298.312
2000-07-06 00:00:00,41.728189152350694,1.8905900829590336,prod,96.12524,1.2635456,72.52095,290.27307
2000-07-06 06:00:00,41.728189152350694,1.8905900829590336,prod,80.77348,0.5005968,63.21289,291.56277
2000-07-06 12:00:00,41.728189152350694,1.8905900829590336,prod,237.79735,2.9724705,32.322266,304.61368
2000-07-06 18:00:00,41.728189152350694,1.8905900829590336,prod,169.53911,2.2062154,27.007812,302.14706
2000-07-07 00:00:00,41.728189152350694,1.8905900829590336,prod,68.781395,1.2682433,53.95399,293.29187
2000-07-07 06:00:00,41.728189152350694,1.8905900829590336,prod,33.8439,1.5882466,52.23098,293.22604
2000-07-07 12:00:00,41.728189152350694,1.8905900829590336,prod,263.96097,4.95658,18.496094,306.22122
2000-07-07 18:00:00,41.728189152350694,1.8905900829590336,prod,200.4067,3.1180239,42.402344,301.05762
2000-07-08 00:00:00,41.728189152350694,1.8905900829590336,prod,171.82832,3.4452393,75.38867,293.01508
2000-07-08 06:00:00,41.728189152350694,1.8905900829590336,prod,352.50003,0.8605715,55.623047,292.28772
2000-07-08 12:00:00,41.728189152350694,1.8905900829590336,prod,239.13306,2.4752603,29.96808,300.5214
2000-07-08 18:00:00,41.728189152350694,1.8905900829590336,prod,149.08603,4.980037,51.5625,293.77267
2000-07-09 00:00:00,41.728189152350694,1.8905900829590336,prod,51.617332,0.35090998,73.435,290.85107
2000-07-09 06:00:00,41.728189152350694,1.8905900829590336,prod,278.74222,2.950881,39.894062,291.0578
2000-07-09 12:00:00,41.728189152350694,1.8905900829590336,prod,182.36723,3.2498624,39.871094,297.59576
2000-07-09 18:00:00,41.728189152350694,1.8905900829590336,prod,152.93755,4.8330455,57.78673,296.1571
2000-07-10 00:00:00,41.728189152350694,1.8905900829590336,prod,149.20328,1.8852649,76.18922,290.50668
2000-07-10 06:00:00,41.728189152350694,1.8905900829590336,prod,11.039278,2.0954738,80.8494,290.17963
2000-07-10 12:00:00,41.728189152350694,1.8905900829590336,prod,206.21951,2.3037698,67.46996,295.31277
2000-07-10 18:00:00,41.728189152350694,1.8905900829590336,prod,239.25784,2.9359431,57.508503,291.5205
2000-07-11 00:00:00,41.728189152350694,1.8905900829590336,prod,170.69533,2.8270922,78.8418,287.09485
2000-07-11 06:00:00,41.728189152350694,1.8905900829590336,prod,215.17969,0.6782085,72.91592,286.93738
2000-07-11 12:00:00,41.728189152350694,1.8905900829590336,prod,267.16434,2.7012587,26.44744,294.90912
2000-07-11 18:00:00,41.728189152350694,1.8905900829590336,prod,144.96925,4.8546443,46.24779,292.03244
2000-07-12 00:00:00,41.728189152350694,1.8905900829590336,prod,352.1255,1.0957218,71.109375,285.45544
2000-07-12 06:00:00,41.728189152350694,1.8905900829590336,prod,292.3985,0.22770569,51.437405,287.07425
2000-07-12 12:00:00,41.728189152350694,1.8905900829590336,prod,300.74243,2.506334,18.611328,297.61548
2000-07-12 18:00:00,41.728189152350694,1.8905900829590336,prod,165.67978,5.182746,45.796875,294.5353
2000-07-13 00:00:00,41.728189152350694,1.8905900829590336,prod,144.58615,0.40901494,82.29263,287.45737
2000-07-13 06:00:00,41.728189152350694,1.8905900829590336,prod,58.367287,0.664623,81.78516,289.0479
2000-07-13 12:00:00,41.728189152350694,1.8905900829590336,prod,179.82834,3.176472,38.95703,299.23282
2000-07-13 18:00:00,41.728189152350694,1.8905900829590336,prod,145.53152,4.711914,56.260635,294.40228
2000-07-14 00:00:00,41.728189152350694,1.8905900829590336,prod,172.77354,0.6871947,82.93164,288.06
2000-07-14 06:00:00,41.728189152350694,1.8905900829590336,prod,313.5236,0.4677107,76.90146,291.01813
2000-07-14 12:00:00,41.728189152350694,1.8905900829590336,prod,268.98453,2.7594302,30.269882,300.82068
2000-07-14 18:00:00,41.728189152350694,1.8905900829590336,prod,157.07034,3.7446048,58.146484,294.6173
2000-07-15 00:00:00,41.728189152350694,1.8905900829590336,prod,162.35947,1.4953945,85.13672,289.78705
2000-07-15 06:00:00,41.728189152350694,1.8905900829590336,prod,276.11728,2.8369129,65.79277,291.07788
2000-07-15 12:00:00,41.728189152350694,1.8905900829590336,prod,272.4845,3.5466545,30.84375,301.64743
2000-07-15 18:00:00,41.728189152350694,1.8905900829590336,prod,125.64857,3.5356345,66.12785,293.42828
2000-07-16 00:00:00,41.728189152350694,1.8905900829590336,prod,185.44537,2.3446758,84.76367,289.38232
2000-07-16 06:00:00,41.728189152350694,1.8905900829590336,prod,243.57034,1.7983367,70.51222,290.7039
2000-07-16 12:00:00,41.728189152350694,1.8905900829590336,prod,195.17973,4.746778,49.563286,296.03482
2000-07-16 18:00:00,41.728189152350694,1.8905900829590336,prod,189.10938,4.059529,55.97461,293.01913
2000-07-17 00:00:00,41.728189152350694,1.8905900829590336,prod,126.23441,0.34535837,77.61914,289.29886
2000-07-17 06:00:00,41.728189152350694,1.8905900829590336,prod,104.06254,1.04018,74.19954,290.1069
2000-07-17 12:00:00,41.728189152350694,1.8905900829590336,prod,211.21172,2.1489413,43.7331,295.31836
2000-07-17 18:00:00,41.728189152350694,1.8905900829590336,prod,165.05502,2.5559485,47.69336,293.205
2000-07-18 00:00:00,41.728189152350694,1.8905900829590336,prod,91.679924,1.2063826,74.52734,288.56982
2000-07-18 06:00:00,41.728189152350694,1.8905900829590336,prod,34.85963,1.0055196,74.30664,289.2699
2000-07-18 12:00:00,41.728189152350694,1.8905900829590336,prod,190.10199,2.4267771,45.19336,297.79306
2000-07-18 18:00:00,41.728189152350694,1.8905900829590336,prod,178.11726,2.6023917,58.876953,294.87607
2000-07-19 00:00:00,41.728189152350694,1.8905900829590336,prod,115.27419,1.1218833,83.24805,289.27142
2000-07-19 06:00:00,41.728189152350694,1.8905900829590336,prod,79.32894,0.6763031,83.03243,290.51047
2000-07-19 12:00:00,41.728189152350694,1.8905900829590336,prod,174.84398,3.3363354,33.259354,301.44235
2000-07-19 18:00:00,41.728189152350694,1.8905900829590336,prod,155.85158,2.6600063,42.19954,297.08752
2000-07-20 00:00:00,41.728189152350694,1.8905900829590336,prod,126.65646,1.2119573,81.54017,291.3996
2000-07-20 06:00:00,41.728189152350694,1.8905900829590336,prod,136.35997,0.84420717,76.57805,291.66412
2000-07-20 12:00:00,41.728189152350694,1.8905900829590336,prod,169.6642,3.415427,36.36328,301.74973
2000-07-20 18:00:00,41.728189152350694,1.8905900829590336,prod,156.97687,2.299476,40.64744,297.32632
2000-07-21 00:00:00,41.728189152350694,1.8905900829590336,prod,111.96879,0.49514243,69.51446,291.70374
2000-07-21 06:00:00,41.728189152350694,1.8905900829590336,prod,150.64117,0.44885448,73.93242,292.40555
2000-07-21 12:00:00,41.728189152350694,1.8905900829590336,prod,184.336,2.9932203,31.412346,302.72446
2000-07-21 18:00:00,41.728189152350694,1.8905900829590336,prod,169.93758,3.165686,35.917957,298.03278
2000-07-22 00:00:00,41.728189152350694,1.8905900829590336,prod,122.84376,1.2637486,60.20263,289.90073
2000-07-22 06:00:00,41.728189152350694,1.8905900829590336,prod,113.84397,0.55702055,60.405952,291.15506
2000-07-22 12:00:00,41.728189152350694,1.8905900829590336,prod,187.57819,3.0382242,30.569054,303.91757
2000-07-22 18:00:00,41.728189152350694,1.8905900829590336,prod,173.17197,2.9981031,20.746094,300.9477
2000-07-23 00:00:00,41.728189152350694,1.8905900829590336,prod,104.211266,1.107434,57.830833,291.22284
2000-07-23 06:00:00,41.728189152350694,1.8905900829590336,prod,346.8828,0.49199796,62.25,290.9001
2000-07-23 12:00:00,41.728189152350694,1.8905900829590336,prod,148.17258,2.7295904,33.683357,301.98563
2000-07-23 18:00:00,41.728189152350694,1.8905900829590336,prod,22.625011,1.6302413,77.137054,295.8167
2000-07-24 00:00:00,41.728189152350694,1.8905900829590336,prod,32.80472,1.4935262,83.53843,291.13892
2000-07-24 06:00:00,41.728189152350694,1.8905900829590336,prod,92.60157,1.4238636,91.07617,290.3203
2000-07-24 12:00:00,41.728189152350694,1.8905900829590336,prod,255.73468,3.166906,33.5898,299.75653
2000-07-24 18:00:00,41.728189152350694,1.8905900829590336,prod,272.82047,3.8937693,30.673828,299.25415
2000-07-25 00:00:00,41.728189152350694,1.8905900829590336,prod,180.32814,1.5473753,44.505447,292.50293
2000-07-25 06:00:00,41.728189152350694,1.8905900829590336,prod,5.9144745,0.7506658,63.457664,291.12976
2000-07-25 12:00:00,41.728189152350694,1.8905900829590336,prod,206.07826,3.4013908,39.437515,302.336
2000-07-25 18:00:00,41.728189152350694,1.8905900829590336,prod,198.5862,3.781529,43.88341,299.41846
2000-07-26 00:00:00,41.728189152350694,1.8905900829590336,prod,14.508056,1.155685,72.081696,293.28693
2000-07-26 06:00:00,41.728189152350694,1.8905900829590336,prod,8.289141,0.9718725,85.0446,290.64752
2000-07-26 12:00:00,41.728189152350694,1.8905900829590336,prod,238.97667,2.053468,34.693943,302.1648
2000-07-26 18:00:00,41.728189152350694,1.8905900829590336,prod,196.9297,2.6886725,36.640625,301.27353
2000-07-27 00:00:00,41.728189152350694,1.8905900829590336,prod,111.98498,1.0270437,85.33648,292.1695
2000-07-27 06:00:00,41.728189152350694,1.8905900829590336,prod,75.10159,0.6493127,92.154366,291.02576
2000-07-27 12:00:00,41.728189152350694,1.8905900829590336,prod,167.53946,3.2863042,27.189453,303.55743
2000-07-27 18:00:00,41.728189152350694,1.8905900829590336,prod,198.61725,3.3344052,25.726051,301.55054
2000-07-28 00:00:00,41.728189152350694,1.8905900829590336,prod,82.789185,0.88708204,63.147816,291.83252
2000-07-28 06:00:00,41.728189152350694,1.8905900829590336,prod,2.273834,1.429477,68.15812,292.52637
2000-07-28 12:00:00,41.728189152350694,1.8905900829590336,prod,223.88312,2.8237486,51.871094,301.12146
2000-07-28 18:00:00,41.728189152350694,1.8905900829590336,prod,191.4375,5.2958245,44.052734,298.20697
2000-07-29 00:00:00,41.728189152350694,1.8905900829590336,prod,220.04697,2.370735,85.58789,291.36176
2000-07-29 06:00:00,41.728189152350694,1.8905900829590336,prod,56.80496,0.55237055,90.12109,291.31262
2000-07-29 12:00:00,41.728189152350694,1.8905900829590336,prod,244.72705,2.2060533,35.617355,301.1286
2000-07-29 18:00:00,41.728189152350694,1.8905900829590336,prod,168.78911,5.679524,62.926785,296.94254
2000-07-30 00:00:00,41.728189152350694,1.8905900829590336,prod,140.93013,1.909904,81.57617,292.78796
2000-07-30 06:00:00,41.728189152350694,1.8905900829590336,prod,175.8438,0.6988943,82.8418,292.92468
2000-07-30 12:00:00,41.728189152350694,1.8905900829590336,prod,238.27357,1.7161112,42.179302,301.7282
