z,time,x,y,lat,lon,dx,dy,dz,topography,heatFlux,surfPressure,surfTheta,surfRvap,altitude,u,v,w,Temp,Theta,Rho,Tke,Rvap,Rcloud,Rrain,Rice,RH,hbltop,um10,vm10,gust10,lambda2,acprecip,cloudfrac,t2m
15.0,2022-07-16 00:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98634.16741689832,302.17049240909233,0.010234373827633121,295.1964,0.5552378661052159,-0.5742560861999766,0.03327275851080211,300.985893793064,302.17049240909233,1.1416255756894291,0.01,0.010234373827633121,0.0,0.0,0.0,42.53911095739125,50.0,0.5053835443782373,-0.6389843045096856,1.2146861164510148,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 01:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98347.9118256006,302.7532109682192,0.009301730828479298,295.1964,-0.5184569941305643,0.08104851661413592,-0.02117525329221208,301.3160908489822,302.7532109682192,1.1370649367014796,0.01,0.009301730828479298,0.0,0.0,0.0,37.803374803433364,105.25732194369044,-0.11469430679731271,-0.21777017642523908,0.6461272714511658,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 02:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98340.65499838644,302.37495834028016,0.009045091484752894,295.1964,-0.41523255084696564,-0.06424033853861466,-0.01426321869836368,300.9332911736481,302.37495834028016,1.1384273229601218,0.01,0.009045091484752894,0.0,0.0,0.0,37.59929141843054,70.64851669125119,-0.09301001542232427,-0.0791781216215903,0.5221476070677782,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 03:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98330.27462478231,301.9389006068453,0.008763953787086068,295.1964,-0.6132840138261343,-0.4631864341286469,-0.017195291457265654,300.49025241844566,301.9389006068453,1.139985460607465,0.01,0.008763953787086068,0.0,0.0,0.0,37.39654973589517,64.34531104055128,-0.2130473680545789,-0.4703465291107713,0.9163477882992556,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 04:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98325.27669867805,301.1887256358452,0.008663753235328267,295.1964,-0.45105216536100007,-1.0404314152185377,-0.005244849666498454,299.7393250209517,301.1887256358452,1.1427833416386624,0.01,0.008663753235328267,0.0,0.0,0.0,38.657581321216995,50.0,-0.13363961407978994,-1.324345405335455,1.7310711097024556,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 05:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98319.49918534393,300.5927365009701,0.008486272554760171,295.1964,-0.42897835610143753,-1.291305705889263,-0.0014938242318706736,299.1411832957928,300.5927365009701,1.1450010877548646,0.01,0.008486272554760171,0.0,0.0,0.0,39.24271256010761,50.0,-0.12426451967413918,-1.538153042316513,1.9431644281920804,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 06:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98316.41740535627,300.31890048870474,0.008530998200518001,295.1964,-0.29397677084975793,-1.4589297253205378,0.004281483721698729,298.86599392133525,300.31890048870474,1.1460194575269649,0.01,0.008530998200518001,0.0,0.0,0.0,40.105010779646,50.0,-0.27557945732605543,-1.6904804656390142,2.1127954466331413,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 07:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98309.42250674865,300.9371282467446,0.008889875935887448,295.1964,-0.12435595746725239,-0.87689492973943,0.0030125433834796195,299.4751448302794,300.9371282467446,1.143607013521601,0.04572464680783571,0.008889875935887448,0.0,0.0,0.0,40.29106599624542,97.03841843885408,-0.6108282893437795,-0.9392094516338731,1.9757013955088665,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 08:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98288.61487692027,302.75253771532755,0.00929980371398459,295.1964,0.6783304242594568,-0.28114231542471335,0.028892362835588208,301.26352004562057,302.75253771532755,1.1365776650542705,0.13764694976325612,0.00929980371398459,0.0,0.0,0.0,37.88991284160478,205.71448138143097,0.19666415343175378,-0.10578295245855246,1.707340878592133,0.0,0.0,0.0,9.999999999999998e+19
15.0,2022-07-16 09:00:00,58000.0,78000.0,41.70184932160813,1.8925491882401797,2000.0,2000.0,29.550307050024855,280.4212493451194,0.0,98257.53715079147,305.13366342459534,0.00938476399626563,295.1964,1.0995082226552522,1.3854401733220503,0.02569628521216654,303.6055104509313,305.13366342459534,1.1274535886147186,0.2827418157616589,0.00938476399626563,0.0,0.0,0.0,33.319458347802076,398.19685371807856,1.0719150867753922,1.4183026004728176,3.9047420929588945,0.0,0.0,0.0,9.999999999999998e+19
